Active (0/1);Name *;Price tax excluded or Price tax included;Tax rules ID;Reference #;EAN13;UPC;Short description
1;COL ISERIES VENTAGE FIRM_100*200;4827586;1;7701144100603;7701144100603;3010920;
1;COL ISERIES VENTAGE PLUSH_100*200;4827586;1;7701144100665;7701144100665;3010927;
1;COL ISERIES MERIT SUPER P. TOP_100*200;6206896;1;7701144100900;7701144100900;3010933;
1;COL ICONFORT PRODIGY_TWIN_96.5*190;6206896;1;7701144100955;7701144100955;3010939;
1;COL ICONFORT GENIUS_TWIN_96.5*190;4827586;1;7701144101006;7701144101006;3010944;
1;COL P S REEDSWORTH SP TOP ELITE_100*190;3879310;1;7701144101051;7701144101051;3010949;
1;COL P S REEDSWORTH FIRM ELITE_100*190;3103448;1;7701144101129;7701144101129;3010956;
1;COL P S REEDSWORTH PLUSH ELITE_100*190;3103448;1;7701144101198;7701144101198;3010963;
1;SOFACAMA CUERO NATUZZI BLANCO;5792241;1;7701144012852;7701144012852;4000721;
1;CAMA IREST + REGULADOR Y COLCHÓN LATEX INNOVATION REST_100*200;10546551;1;7701144021649;7701144021649;3008579;
1;SOMIER PRAGA-MERR KMC + PATAS_80*190 NEGRO;810344;1;7701144077851;7701144077851;3009898;
1;BASE PLAST IMP KNICKERBOCKER_140*181 NEGRO;818965;1;7701144022844;7701144022844;4001088;
1;COLCHONETA TRUE RESPONSE GRUSS_100*190;1471551;1;7701144088536;7701144088536;3004354;
1;ALMOHADA IMP PLUMA DE GANSO;284482;1;7701144022318;7701144022318;4001058;Soporte optimo, construida con 3 camaras , en el centro plumas de ganso, en las camaras exteriores fibra. Respirable, hypoalergenica y antimicrobial.
1;ALMOHADA IMP MEMORY GEL MEM;256896;1;7701144022325;7701144022325;4001059;
1;ALMOHADA IMP CLEAN SHIELD;256034;1;7701144022332;7701144022332;4001060;Tela de la funda con Crypton, lo que mantiene limpia y fresca la almohada por mas tiempo. Relleno de fibra de polyester siliconada, que mantiene la forma y le da extra Antimicrobial y antialergica.resilencia.
1;ALMOHADA IMP MEMORY GEL FOAM BRISA;249137;1;7701144022431;7701144022431;4001062;Construida en dos capas, una de memory foam y la otra en gel. El gel mantiene una superficie fria. 100% visco - elastica disminuye la presion, es hypoalergenica, antimicrobial.
1;ALMOHADA IMP MICROGEL;212068;1;7701144001061;7701144001061;4001061;Esta almohada esta rellena 100% de microparticulas de gel y fibras de polyester Regomendada para personas con alta sensibilidad
1;FINAPLUMA_50*90;151724;1;7701144002976;7701144002976;4000504;
1;FOSSFLAKES;143103;1;7701144080875;7701144080875;4000005;
1;FINAPLUMA_50*76;138793;1;7701144090614;7701144090614;4000503;
1;FINAPLUMA_50*70 FIRM;107758;1;7701144004802;7701144004802;4000501;
1;FINAPLUMA_50*70 PLUSH;107758;1;7701144004796;7701144004796;4000502;
1;PROTECTOR SERTA COL AJ DOBLE FAZ_100*190;117241;1;7701144079947;7701144079947;3004235;
1;TWIN - JC SATIN UNICOLOR SERTA BEIGE_100*190;201724;1;7701144079770;7701144079770;3004218;En genero 300Hilos, 100% Algodón satinado Bordado en blanco sobre la guarda de la sobresabana Sabana, sobresabana, 2 fundas de almohada
1;TWIN - DUVET SATIN SERTA NEGRO_100*190;588793;1;7701144017734;7701144017734;2000989;
1;PROTECTOR SERTA ALMOHADA QUEEN BLANCO_50*75;38793;1;7701144080042;7701144080042;3004246;
1;PROTECTOR SERTA ALMOHADA COOL CONTACT ;61206;1;7701144022608;7701144022608;4001073;
1;COBIJA PLUMA SINTETICA SERTA TWIN;478448;1;7701144078322;7701144078322;3004014;
1;COBIJA MANTEROL SERTA KING 220*240 BEIGE;300000;1;7701144022813;7701144022813;4001086;
1;COBIJA FLANEEL SERTA QUEEN  NEGRO;65517;1;7701144026385;7701144026385;4001193;
